name,phone,url,address
Jefferson School,+1 916-567-5580,natomas.k12.ca.us,"2001 Pebblewood Drive, Sacramento, CA 95833"
Elkhorn Village Elementary School,+1 916-375-7670,elkhorn.wusd.k12.ca.us,"750 Cummins Way, West Sacramento, CA 95605"
Westside Elementary School,Not Listed,Not Listed,"6537 West 2nd Street, Rio Linda, CA 95673"
Elverta Elementary School,Not Listed,Not Listed,"7900 Eloise Avenue, Elverta, CA 95626"
Sava North Sacramento,Not Listed,Not Listed,"1214 North Market Boulevard, Sacramento, CA 95834"
Natomas High School,+1 916-641-4960,www.natomasunified.org,"3301 Fong Ranch Road, Sacramento, CA 95834"
Natomas Charter School Pact,+1 916-419-3788,www.pact.natomascharter.org,"1172 National Drive, Sacramento, CA 95834"
Del Dayo Elementary School,+1 916-575-2323,Not Listed,"3701 Lennane Drive, Sacramento, CA 95834"
Bannon Creek Elementary School,+1 916-567-5600,www.natomasunified.org,"2775 Millcreek Drive, Sacramento, CA 95833"
American Lakes School,+1 916-567-5500,www.natomasunified.org,"2800 Stonecreek Drive, Sacramento, CA 95833"
Read Academy of Sacramento,+1 916-258-2080,www.readacademy.com,"2565 Millcreek Drive, Sacramento, CA 95833"
CGL,+1 916-678-7890,Not Listed,"2485 Natomas Park Drive, Sacramento, CA 95833"
